session_number,country,sessions_count,avg_session_duration_sec,avg_session_duration_min
1,SC,125,478.208,7.970133333333334
1,SD,461,366.15618221258137,6.102603036876356
1,SE,1745,341.65787965616045,5.69429799426934
1,SG,1788,490.4608501118568,8.17434750186428
1,SI,1532,592.7088772845952,9.878481288076587
1,SK,5852,523.6953178400547,8.728255297334245
1,SL,721,406.4632454923717,6.774387424872861
1,SM,17,891.8823529411765,14.864705882352942
1,SN,1560,427.9673076923077,7.132788461538462
1,SO,948,381.165611814346,6.352760196905766
1,SR,217,525.1612903225806,8.75268817204301
1,SS,9,422.0,7.033333333333333
1,ST,8,261.375,4.35625
1,SV,3018,544.8707753479125,9.081179589131875
1,SX,13,558.6923076923077,9.311538461538463
1,SY,2,108.5,1.8083333333333333
1,SZ,63,273.6666666666667,4.561111111111112
1,TC,28,764.6785714285714,12.744642857142857
1,TD,71,133.8732394366197,2.231220657276995
1,TG,212,517.183962264151,8.619732704402516
1,TH,36142,503.6406120303248,8.394010200505413
1,TJ,1812,408.43543046357615,6.8072571743929355
1,TK,2,113.5,1.8916666666666666
1,TL,23,945.1739130434783,15.752898550724638
1,TM,235,814.0765957446808,13.567943262411347
1,TN,2667,508.8057742782152,8.480096237970253
1,TR,59483,511.9160768622968,8.531934614371613
1,TT,1574,663.3792884371029,11.056321473951716
1,TV,13,34.69230769230769,0.5782051282051283
1,TW,12460,613.2937399678973,10.221562332798289
1,TZ,605,432.3371900826446,7.205619834710744
1,UA,20505,563.7705925384053,9.396176542306755
1,UG,514,533.9571984435797,8.899286640726329
1,US,379539,570.2258186905693,9.503763644842822
1,UY,1362,519.8186490455213,8.663644150758689
1,UZ,7846,512.9325771093551,8.548876285155918
1,Unknown,522568,501.05863351755175,8.35097722529253
1,VC,106,477.64150943396226,7.960691823899371
1,VE,679,485.9941089837997,8.099901816396661
1,VG,24,544.5416666666666,9.075694444444444
1,VI,34,1186.0,19.766666666666666
1,VN,66579,470.40335541236726,7.840055923539454
1,VU,3,833.6666666666666,13.894444444444444
1,WF,6,54.833333333333336,0.913888888888889
1,WS,2,4647.0,77.45
1,XK,547,428.0603290676417,7.134338817794029
1,XX,79,396.126582278481,6.60210970464135
1,YE,2098,366.2917063870353,6.104861773117254
1,YT,134,343.2686567164179,5.721144278606966
1,ZA,8751,413.3127642555136,6.888546070925227
1,ZM,445,407.24269662921347,6.787378277153558
1,ZW,536,525.0037313432836,8.750062189054725
2,AD,22,840.0909090909091,14.001515151515152
2,AE,2506,505.9680766161213,8.432801276935356
2,AF,800,324.66375,5.4110625
2,AG,49,293.59183673469386,4.893197278911564
2,AI,6,808.3333333333334,13.472222222222223
2,AL,620,488.7951612903226,8.146586021505376
2,AM,951,501.10515247108304,8.351752541184718
2,AO,250,376.212,6.2702
2,AR,34038,565.086197778953,9.418103296315882
2,AS,53,420.92452830188677,7.015408805031446
2,AT,927,434.83710895361384,7.247285149226897
2,AU,5267,545.1063223846592,9.085105373077653
2,AW,39,460.3333333333333,7.672222222222222
2,AX,6,420.5,7.008333333333334
2,AZ,2132,479.6022514071295,7.993370856785491
2,BA,976,487.843237704918,8.1307206284153
2,BB,93,547.3763440860215,9.122939068100358
2,BD,4173,470.0531991373113,7.834219985621855
2,BE,1983,432.44377206253154,7.207396201042192
2,BF,857,494.45040840140024,8.240840140023337
2,BG,2789,450.8017210469702,7.513362017449504
2,BH,234,391.6923076923077,6.528205128205128
2,BI,2,937.0,15.616666666666667
2,BJ,256,490.01171875,8.166861979166667
2,BL,2,430.5,7.175
2,BM,6,1001.1666666666666,16.68611111111111
2,BN,230,578.8521739130434,9.647536231884057
2,BO,5246,573.1082729698818,9.55180454949803
2,BQ,3,217.0,3.6166666666666667
2,BR,73960,501.5078150351541,8.358463583919235
2,BS,198,478.5353535353535,7.975589225589226
2,BT,102,480.27450980392155,8.004575163398693
2,BW,74,704.2162162162163,11.736936936936937
2,BY,2964,570.7537112010796,9.512561853351325
2,BZ,130,566.9,9.448333333333332
2,CA,6692,597.344291691572,9.955738194859533
2,CD,204,415.3480392156863,6.922467320261438
2,CF,9,252.22222222222223,4.203703703703704
2,CG,83,344.69879518072287,5.744979919678714
2,CH,670,433.4268656716418,7.2237810945273635
2,CI,1450,432.331724137931,7.205528735632184
2,CK,1,33.0,0.55
2,CL,12593,472.81577066624317,7.880262844437386
2,CM,481,327.33471933471935,5.455578655578656
2,CN,14265,654.2966000701017,10.904943334501695
2,CO,22603,522.249966818564,8.704166113642733
2,CR,1373,509.4136926438456,8.49022821073076
2,CU,1,320.0,5.333333333333333
2,CV,74,683.081081081081,11.384684684684684
2,CW,69,425.0289855072464,7.083816425120773
2,CX,1,115.0,1.9166666666666667
2,CY,416,483.61538461538464,8.060256410256411
2,CZ,4480,521.1944196428572,8.686573660714286
2,DE,15803,480.3766373473391,8.006277289122318
2,DJ,146,375.4931506849315,6.258219178082191
2,DK,379,427.0633245382586,7.117722075637643
2,DM,4,343.25,5.720833333333333
2,DO,5521,555.4854193080963,9.258090321801605
2,DZ,150,534.2666666666667,8.904444444444444
2,EC,5161,526.608990505716,8.776816508428599
2,EE,194,460.840206185567,7.680670103092783
2,EG,381,415.53543307086613,6.925590551181102
2,EH,48,519.125,8.652083333333334
2,ES,8758,469.19593514501025,7.819932252416837
2,ET,340,356.36764705882354,5.9394607843137255
2,FI,477,437.19287211740044,7.286547868623341
2,FJ,287,544.595818815331,9.076596980255516
2,FK,1,883.0,14.716666666666667
2,FM,133,450.1203007518797,7.5020050125313285
2,FO,6,584.8333333333334,9.747222222222224
2,FR,18937,520.63352167714,8.677225361285668
2,GA,121,331.0082644628099,5.516804407713498
2,GB,11541,536.5604367039251,8.942673945065419
2,GD,40,653.5,10.891666666666667
2,GE,2382,534.8606213266163,8.914343688776938
2,GF,145,420.8551724137931,7.014252873563219
2,GG,8,267.125,4.452083333333333
2,GH,746,400.52815013404825,6.675469168900804
2,GI,7,473.57142857142856,7.892857142857142
2,GL,41,395.9756097560976,6.599593495934959
2,GM,37,317.13513513513516,5.2855855855855856
2,GN,1025,266.9726829268293,4.449544715447155
2,GP,130,576.7307692307693,9.612179487179487
2,GQ,7,200.0,3.3333333333333335
2,GR,4622,491.91973171787106,8.198662195297851
2,GT,4713,569.3182686187142,9.488637810311904
2,GU,113,626.3982300884956,10.439970501474926
2,GW,13,237.23076923076923,3.9538461538461536
2,GY,325,513.3292307692308,8.55548717948718
2,HK,636,485.1619496855346,8.086032494758909
2,HN,2774,547.203677000721,9.120061283345349
2,HR,1481,485.10871033085755,8.08514517218096
2,HT,623,416.6950240770465,6.944917067950775
2,HU,4227,501.3588833688195,8.355981389480325
2,ID,58078,509.40025482971174,8.490004247161862
2,IE,1306,436.9946401225115,7.283244002041858
2,IL,3334,409.81613677264545,6.830268946210757
2,IM,8,248.125,4.135416666666667
2,IN,250410,567.4248153029032,9.457080255048387
2,IQ,1450,401.8737931034483,6.6978965517241384
2,IR,2,572.0,9.533333333333333
2,IS,36,587.7222222222222,9.79537037037037
2,IT,23332,533.2267272415567,8.887112120692612
2,JE,7,328.2857142857143,5.4714285714285715
2,JM,1189,536.6400336417157,8.944000560695262
2,JO,3929,425.0687197760244,7.08447866293374
2,JP,22690,789.5925077126487,13.159875128544146
2,KE,795,426.61006289308176,7.110167714884696
2,KG,1163,461.3009458297506,7.688349097162511
2,KH,40,337.075,5.617916666666667
2,KI,14,113.14285714285714,1.8857142857142857
2,KM,3,590.6666666666666,9.844444444444443
2,KN,22,332.3181818181818,5.538636363636363
2,KR,7394,631.1205031106302,10.518675051843838
2,KW,798,388.5200501253133,6.4753341687552215
2,KY,16,886.3125,14.771875
2,KZ,17700,450.4868361581921,7.5081139359698685
2,LA,1199,426.1000834028357,7.101668056713929
2,LB,1521,454.98159105851414,7.583026517641902
2,LC,62,437.7258064516129,7.295430107526882
2,LI,5,75.0,1.25
2,LK,573,571.1134380453752,9.518557300756253
2,LR,16,687.125,11.452083333333333
2,LT,655,438.46564885496184,7.307760814249364
2,LU,77,440.1168831168831,7.335281385281386
2,LV,434,439.2695852534562,7.32115975422427
2,LY,2201,396.54611540209,6.609101923368167
2,MA,2576,449.5097049689441,7.491828416149068
2,MC,2,373.5,6.225
2,MD,841,491.973840665874,8.1995640110979
2,ME,335,434.04477611940297,7.234079601990049
2,MF,3,737.0,12.283333333333333
2,MG,141,269.41843971631204,4.4903073286052
2,MH,44,335.70454545454544,5.595075757575757
2,MK,688,446.03343023255815,7.433890503875969
2,ML,2303,277.48328267477206,4.624721377912867
2,MM,5711,450.8215724041324,7.513692873402206
2,MN,34,648.8823529411765,10.814705882352941
2,MO,12,290.5833333333333,4.843055555555555
2,MP,3,184.66666666666666,3.0777777777777775
2,MQ,157,605.7707006369427,10.096178343949045
2,MR,13,89.84615384615384,1.4974358974358972
2,MT,94,543.5212765957447,9.058687943262411
2,MU,394,477.4137055837563,7.956895093062605
2,MV,105,383.9428571428571,6.399047619047619
2,MW,84,178.9404761904762,2.98234126984127
2,MX,82950,523.5542857142857,8.725904761904761
2,MY,8151,461.4514783462152,7.69085797243692
2,MZ,239,373.673640167364,6.2278940027894
2,NA,178,453.2696629213483,7.5544943820224715
2,NC,201,546.2835820895523,9.104726368159204
2,NE,743,268.8936742934051,4.481561238223419
2,NF,1,257.0,4.283333333333333
2,NG,7307,495.5345559052963,8.258909265088272
2,NI,2829,551.1371509367268,9.18561918227878
2,NL,1487,407.3866845998655,6.789778076664424
2,NO,672,541.5029761904761,9.025049603174603
2,NP,1731,448.001733102253,7.466695551704217
2,NR,2,48.0,0.8
2,NU,1,154.0,2.566666666666667
2,NZ,1320,582.7007575757576,9.711679292929293
2,OM,894,412.07829977628637,6.867971662938106
2,PA,2672,578.064371257485,9.634406187624752
2,PE,22018,542.804750658552,9.046745844309202
2,PF,160,338.25625,5.637604166666667
2,PG,208,268.25,4.470833333333333
2,PH,27974,481.3363480374634,8.022272467291057
2,PK,616,434.03246753246754,7.233874458874459
2,PL,8066,472.3064716092239,7.871774526820398
2,PM,2,163.0,2.716666666666667
2,PR,1520,550.8177631578948,9.18029605263158
2,PS,3876,392.531217750258,6.5421869625043
2,PT,2925,467.32752136752134,7.788792022792022
2,PW,1,680.0,11.333333333333334
2,PY,2864,590.7074022346369,9.845123370577282
2,QA,284,490.9788732394366,8.182981220657277
2,RE,997,524.2647943831495,8.737746573052492
2,RO,9421,450.4933658847256,7.508222764745427
2,RS,2288,503.28277972027973,8.38804632867133
2,RU,79590,552.5701093102149,9.209501821836914
2,RW,66,573.8636363636364,9.56439393939394
2,SA,4420,324.297963800905,5.404966063348416
2,SB,32,332.59375,5.543229166666666
2,SC,85,273.81176470588235,4.563529411764706
2,SD,339,278.5811209439528,4.643018682399213
2,SE,967,372.4488107549121,6.207480179248535
2,SG,1102,482.1152450090744,8.035254083484572
2,SI,949,519.5858798735511,8.659764664559185
2,SK,3743,521.1629708789741,8.686049514649568
2,SL,529,466.79017013232516,7.779836168872086
2,SM,13,617.5384615384615,10.292307692307693
2,SN,1050,431.62380952380954,7.193730158730159
2,SO,665,351.7157894736842,5.861929824561403
2,SR,138,665.0942028985507,11.084903381642512
2,SS,6,547.6666666666666,9.127777777777776
2,ST,6,169.66666666666666,2.8277777777777775
2,SV,2039,571.097106424718,9.518285107078635
2,SX,10,532.0,8.866666666666667
2,SY,2,60.0,1.0
2,SZ,43,262.4186046511628,4.373643410852713
2,TC,18,494.55555555555554,8.242592592592592
2,TD,50,116.4,1.9400000000000002
2,TG,150,466.42,7.773666666666667
2,TH,21230,477.4556759302873,7.9575945988381225
2,TJ,1427,374.0077084793273,6.233461807988788
2,TL,19,335.0,5.583333333333333
2,TM,178,517.4606741573034,8.62434456928839
2,TN,1756,446.54783599088836,7.442463933181473
2,TR,37455,467.31637965558673,7.788606327593112
2,TT,1051,575.2407231208373,9.587345385347287
2,TV,12,56.916666666666664,0.9486111111111111
2,TW,7277,614.2143740552425,10.236906234254041
2,TZ,408,465.2622549019608,7.75437091503268
2,UA,12527,536.7523748702802,8.945872914504669
2,UG,363,471.60330578512395,7.860055096418733
2,US,249979,599.3452249988999,9.989087083314997
2,UY,893,503.7357222844345,8.395595371407241
2,UZ,5207,507.1146533512579,8.451910889187632
2,Unknown,323984,530.8364734060941,8.847274556768236
2,VC,60,519.4,8.656666666666666
2,VE,507,492.1913214990138,8.20318869165023
2,VG,17,998.8823529411765,16.648039215686275
2,VI,21,741.952380952381,12.365873015873015
2,VN,36280,454.595203969129,7.576586732818816
2,VU,3,593.3333333333334,9.88888888888889
2,WF,5,37.8,0.63
2,WS,2,2503.5,41.725
2,XK,361,437.74238227146816,7.295706371191136
2,XX,52,723.2307692307693,12.053846153846155
2,YE,1628,260.735257985258,4.345587633087633
2,YT,89,466.8988764044944,7.781647940074906
2,ZA,5387,439.0534620382402,7.3175577006373365
2,ZM,299,464.24414715719064,7.737402452619844
2,ZW,349,529.323782234957,8.822063037249283
3,AD,16,622.0625,10.367708333333333
3,AE,1753,512.0861380490587,8.534768967484313
3,AF,650,354.7046153846154,5.91174358974359
3,AG,37,485.81081081081084,8.096846846846848
3,AI,3,874.0,14.566666666666666
3,AL,460,467.19347826086954,7.786557971014492
3,AM,666,483.75075075075074,8.062512512512512
3,AO,193,364.54404145077723,6.075734024179621
3,AR,24772,567.9461488777653,9.465769147962755
3,AS,37,377.18918918918916,6.286486486486486
3,AT,609,459.2298850574713,7.653831417624521
3,AU,3820,607.3549738219896,10.12258289703316
3,AW,28,369.0357142857143,6.150595238095238
3,AX,5,326.4,5.4399999999999995
3,AZ,1562,509.83738796414855,8.497289799402475
3,BA,666,460.0855855855856,7.668093093093093
3,BB,75,574.16,9.569333333333333
3,BD,3013,459.80384998340526,7.663397499723421
3,BE,1290,475.331007751938,7.9221834625323
3,BF,672,462.95684523809524,7.715947420634921
3,BG,1923,469.74570982839316,7.829095163806553
3,BH,165,361.8181818181818,6.03030303030303
3,BI,2,719.5,11.991666666666667
3,BJ,194,462.6340206185567,7.710567010309278
3,BL,2,142.5,2.375
3,BM,3,222.66666666666666,3.711111111111111
3,BN,167,668.2215568862275,11.137025948103792
3,BO,3660,565.2969945355192,9.421616575591987
3,BQ,1,1326.0,22.1
3,BR,51486,521.6998601561589,8.694997669269316
3,BS,143,555.006993006993,9.25011655011655
3,BT,77,294.53246753246754,4.908874458874459
3,BW,59,446.271186440678,7.437853107344633
3,BY,2124,555.0790960451977,9.251318267419963
3,BZ,102,551.4705882352941,9.191176470588236
3,CA,4766,627.5486781368023,10.459144635613372
3,CD,150,565.2733333333333,9.421222222222221
3,CF,8,136.0,2.2666666666666666
3,CG,62,316.69354838709677,5.278225806451613
3,CH,455,441.1340659340659,7.3522344322344315
3,CI,1068,471.5112359550562,7.858520599250936
3,CL,8612,479.4234788666976,7.9903913144449605
3,CM,369,504.5691056910569,8.409485094850949
3,CN,8622,691.5853630248203,11.526422717080338
3,CO,16391,512.4537856140565,8.540896426900941
3,CR,1018,506.6090373280943,8.443483955468238
3,CV,53,323.77358490566036,5.396226415094339
3,CW,44,458.27272727272725,7.637878787878788
3,CY,280,499.5571428571429,8.325952380952382
3,CZ,3163,551.9702813784382,9.199504689640637
3,DE,10586,516.4445494048744,8.607409156747906
3,DJ,109,152.4954128440367,2.5415902140672784
3,DK,244,485.15983606557376,8.085997267759563
3,DM,1,1041.0,17.35
3,DO,4346,519.3886332259549,8.656477220432581
3,DZ,130,544.0538461538462,9.067564102564102
3,EC,3607,555.7862489603549,9.263104149339249
3,EE,137,462.8905109489051,7.714841849148418
3,EG,276,351.18840579710144,5.8531400966183575
3,EH,34,483.7352941176471,8.062254901960785
3,ES,6055,488.6654004954583,8.144423341590972
3,ET,249,318.6827309236948,5.311378848728247
3,FI,345,474.58550724637684,7.909758454106281
3,FJ,225,498.76444444444445,8.312740740740741
3,FK,1,843.0,14.05
3,FM,105,483.7142857142857,8.061904761904762
3,FO,6,488.3333333333333,8.13888888888889
3,FR,13230,549.0226757369614,9.150377928949357
3,GA,92,507.69565217391306,8.461594202898551
3,GB,8233,574.8124620429977,9.58020770071663
3,GD,25,741.8,12.363333333333333
3,GE,1717,537.130460104834,8.952174335080567
3,GF,104,351.9423076923077,5.865705128205128
3,GG,5,635.4,10.59
3,GH,556,480.6276978417266,8.010461630695444
3,GI,6,518.8333333333334,8.647222222222222
3,GL,27,285.44444444444446,4.757407407407408
3,GM,27,317.22222222222223,5.287037037037037
3,GN,819,298.6251526251526,4.9770858770858775
3,GP,92,497.92391304347825,8.29873188405797
3,GQ,3,394.0,6.566666666666666
3,GR,3257,495.4267731040835,8.257112885068059
3,GT,3483,536.0697674418604,8.934496124031007
3,GU,83,487.9277108433735,8.132128514056225
3,GW,6,90.16666666666667,1.5027777777777778
3,GY,244,491.0450819672131,8.184084699453551
3,HK,433,578.7205542725173,9.645342571208623
3,HN,2013,555.1246895181322,9.252078158635536
3,HR,1066,460.4390243902439,7.673983739837398
3,HT,491,559.4928716904277,9.324881194840462
3,HU,2878,518.552466990966,8.6425411165161
3,ID,39949,514.6849733410098,8.57808288901683
3,IE,915,489.25136612021856,8.154189435336976
3,IL,2278,456.4385425812116,7.6073090430201935
3,IM,6,393.0,6.55
3,IN,190739,568.1266232915135,9.468777054858558
3,IQ,967,394.8314374353671,6.580523957256118
3,IR,1,54.0,0.9
3,IS,28,383.17857142857144,6.386309523809524
3,IT,17006,537.866106080207,8.964435101336784
3,JE,5,254.2,4.236666666666666
3,JM,861,557.7015098722416,9.295025164537359
3,JO,2721,413.7728776185226,6.896214626975377
3,JP,17706,833.8149214955382,13.89691535825897
3,KE,534,461.3314606741573,7.688857677902622
3,KG,802,479.9501246882793,7.9991687448046545
3,KH,25,815.68,13.594666666666665
3,KI,11,64.9090909090909,1.0818181818181818
3,KM,3,91.33333333333333,1.5222222222222221
3,KN,13,474.53846153846155,7.908974358974359
3,KR,5211,684.4707349836883,11.407845583061471
3,KW,504,380.4007936507937,6.340013227513228
3,KY,13,728.3076923076923,12.138461538461538
3,KZ,12821,462.0361126277202,7.70060187712867
3,LA,781,455.01408450704224,7.583568075117371
3,LB,1137,463.35356200527707,7.722559366754618
3,LC,43,622.4418604651163,10.374031007751938
3,LI,2,39.5,0.6583333333333333
3,LK,436,525.2637614678899,8.754396024464832
3,LR,12,82.33333333333333,1.3722222222222222
3,LT,415,431.1349397590362,7.18558232931727
3,LU,57,469.0701754385965,7.817836257309941
3,LV,290,447.6413793103448,7.460689655172414
3,LY,1614,366.41883519206937,6.1069805865344895
3,MA,1807,480.32872163807417,8.005478693967904
3,MC,1,1223.0,20.383333333333333
3,MD,579,473.01727115716756,7.8836211859527925
3,ME,239,438.8619246861925,7.314365411436541
3,MF,3,339.3333333333333,5.655555555555555
3,MG,95,419.9578947368421,6.9992982456140345
3,MH,30,327.26666666666665,5.454444444444444
3,MK,476,437.6533613445378,7.29422268907563
3,ML,1717,288.7716948165405,4.812861580275675
3,MM,3855,453.43294422827495,7.557215737137915
3,MN,28,405.9642857142857,6.766071428571428
3,MO,7,137.14285714285714,2.2857142857142856
3,MP,3,406.6666666666667,6.777777777777778
3,MQ,116,768.7844827586207,12.813074712643678
3,MR,12,282.5,4.708333333333333
3,MT,65,903.4,15.056666666666667
